APODI,1,2016,6.78643532431088,102.1829652996845426
CALCANHAR,1,2016,8.314673910970273,107.7336956521739130
MACAU,1,2016,8.33032786194744,78.9289617486338798
MOSSORO,1,2016,7.079126214373459,74.5631067961165049
NATAL,1,2016,7.065667572073456,114.5013623978201635
SANTA CRUZ,1,2016,5.951970439532707,114.5566502463054187
APODI,1,2017,6.890617304378086,114.1950617283950617
CALCANHAR,1,2017,10.981308402302108,360.0000000000000000
MACAU,1,2017,10.711444160918774,85.8719346049046322
MOSSORO,1,2017,8.557142865775255,70.0517241379310345
NATAL,1,2017,9.123284317114774,137.6372549019607843
SANTA CRUZ,1,2017,7.788118836018119,120.2202970297029703
APODI,1,2018,6.725699764133713,104.0381679389312977
CAICO,1,2018,7.390394086908237,109.7364532019704433
CALCANHAR,1,2018,10.23804349484651,358.0489130434782609
IPANGUACU,1,2018,7.317369730685544,110.7766749379652605
MACAU,1,2018,9.911414400815373,85.3275434243176179
MOSSORO,1,2018,7.814962604991218,72.6932668329177057
NATAL,1,2018,8.331761811566412,127.8858560794044665
SANTA CRUZ,1,2018,8.23447204968944,104.6925465838509317
APODI,1,2019,3.860272112215052,113.8639455782312925
CAICO,1,2019,6.252284939571093,131.8736559139784946
CALCANHAR,1,2019,10.87102042217644,358.5346938775510204
IPANGUACU,1,2019,5.341532255212466,127.1061827956989247
MOSSORO,1,2019,8.527102861448983,68.0000000000000000
NATAL,1,2019,8.375940867970067,144.3763440860215054
SANTA CRUZ,1,2019,6.605376349341485,128.2795698924731183
APODI,1,2020,6.1573221813601595,95.5230125523012552
CAICO,1,2020,5.893010751534534,111.5241935483870968
IPANGUACU,1,2020,5.568281943577502,98.3700440528634361
MACAU,1,2020,7.287768816274982,95.9448924731182796
MOSSORO,1,2020,6.520777292315735,72.9372197309417040
NATAL,1,2020,7.196639794495798,127.4731182795698925
APODI,1,2021,7.1165753424167635,84.0643835616438356
CAICO,1,2021,6.732558139534884,107.3488372093023256
IPANGUACU,1,2021,7.919485330581665,89.1911764705882353
NATAL,1,2021,8.915245493561107,122.8552971576227390
APODI,2,2016,5.928415304976083,128.7240437158469945
CAICO,2,2016,7.900000095367432,126.0000000000000000
CALCANHAR,2,2016,13.180208335320154,125.3125000000000000
MACAU,2,2016,8.283055561449792,104.9416666666666667
MOSSORO,2,2016,6.933156515622328,84.4297082228116711
NATAL,2,2016,9.16666666113812,144.7014492753623188
SANTA CRUZ,2,2016,6.930952389404257,132.1693121693121693
APODI,2,2017,6.7084848562876385,113.8515151515151515
MOSSORO,2,2017,7.465405415844273,81.2513513513513514
NATAL,2,2017,8.533514978450391,138.5476839237057221
SANTA CRUZ,2,2017,7.690710387269005,114.2349726775956284
APODI,2,2018,5.5029605224385465,116.5625000000000000
CAICO,2,2018,5.982432439520553,129.8891891891891892
CALCANHAR,2,2018,9.39669421093523,360.0000000000000000
IPANGUACU,2,2018,5.986263753621133,118.8324175824175824
MOSSORO,2,2018,6.510354241168467,84.8855585831062670
NATAL,2,2018,7.492857150930576,133.5740740740740741
SANTA CRUZ,2,2018,7.136196330646796,107.3466257668711656
APODI,2,2019,3.1474254746545296,131.2818428184281843
CAICO,2,2019,5.319345251435325,142.4895833333333333
IPANGUACU,2,2019,4.624101801814433,119.8847305389221557
MACAU,2,2019,8.799999872843424,78.3333333333333333
MOSSORO,2,2019,6.740000057220459,55.6000000000000000
NATAL,2,2019,6.626636908522674,139.6770833333333333
SANTA CRUZ,2,2019,5.3175595213792155,129.1815476190476190
APODI,2,2020,4.915797313239464,140.9284649776453055
CAICO,2,2020,4.841810349589107,155.5201149425287356
IPANGUACU,2,2020,4.810866149954909,128.1952755905511811
MACAU,2,2020,6.379454022166373,111.1393678160919540
MOSSORO,2,2020,5.425110136359799,92.6696035242290749
NATAL,2,2020,6.894396555149692,135.6781609195402299
APODI,2,2021,6.328135051815456,89.3215434083601286
CAICO,2,2021,6.300854699224488,124.1623931623931624
IPANGUACU,2,2021,7.802499992506845,99.9857142857142857
NATAL,2,2021,8.285885883881166,119.2102102102102102
APODI,3,2016,6.075373131244337,121.8855721393034826
CAICO,3,2016,5.954464290291071,157.7946428571428571
CALCANHAR,3,2016,9.985177862314368,315.8280632411067194
MACAU,3,2016,8.765671662726806,95.2238805970149254
MOSSORO,3,2016,8.143456814612872,75.4518518518518519
NATAL,3,2016,8.43027990707611,143.1399491094147583
SANTA CRUZ,3,2016,7.1432762944610895,123.9217603911980440
APODI,3,2017,4.679804567793681,112.6188925081433225
CAICO,3,2017,5.302955671190628,160.5689655172413793
CALCANHAR,3,2017,9.341293543725465,360.0000000000000000
MACAU,3,2017,7.528571426868439,95.8928571428571429
MOSSORO,3,2017,6.203912003699025,86.9633251833740831
NATAL,3,2017,7.906549111421523,135.0856423173803526
SANTA CRUZ,3,2017,7.278960391288937,117.8440594059405941
APODI,3,2018,4.636813208501745,110.8873626373626374
CAICO,3,2018,5.500000026003987,119.5196078431372549
CALCANHAR,3,2018,9.851063819641762,360.0000000000000000
IPANGUACU,3,2018,6.479448620089911,92.4385964912280702
MOSSORO,3,2018,6.936724577589011,73.4069478908188586
NATAL,3,2018,6.828255529778596,121.5257985257985258
SANTA CRUZ,3,2018,6.673712745591554,103.8672086720867209
APODI,3,2019,3.7891719740856984,131.9936305732484076
CAICO,3,2019,4.737365598479907,162.8333333333333333
IPANGUACU,3,2019,3.662853300892328,154.6783310901749664
MACAU,3,2019,5.174327951605602,130.6129032258064516
MOSSORO,3,2019,4.19005375587812,143.0672043010752688
